File Name,digit,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
0_v10.wav,0,436.44254,-19.076422,36.66079,28.15876,-8.51435,23.846027,22.463333,1.9672649,-5.023944,-3.6930757,-0.0987483,2.9610465,0.36453953
0_v10.wav,0,355.61923,-16.3346,41.14148,17.189339,-2.2513697,3.043167,2.5759687,0.23896196,4.029184,2.347533,6.6269913,-2.3032548,1.6093022
0_v10.wav,0,275.6057,-0.40135285,29.981853,11.44708,-1.0243309,-3.0063732,-11.2683,-3.762394,7.1691027,-1.1224182,4.8225646,-3.4978766,1.2705857
0_v10.wav,0,214.41211,11.764844,20.942717,4.985873,0.33387712,-2.3594012,-18.752588,-2.6865304,5.114719,-3.5645185,0.47399804,-2.0239549,-0.3457804
0_v10.wav,0,169.83821,21.888802,14.626587,0.18664585,0.831707,-0.9562428,-22.104977,-0.48843524,3.8657231,-3.480831,-3.8195827,0.22620915,1.3341808
0_v10.wav,0,138.97287,29.161177,9.12715,-4.7981396,1.126632,0.9620861,-15.168076,0.63173926,3.1303747,-1.0839523,-4.532458,0.92053413,0.36814922
0_v10.wav,0,117.183754,35.597683,7.7325463,-6.881058,1.8066682,1.1600934,-7.7728715,0.2517271,2.3525958,0.7725054,-3.3955836,1.2014977,-0.02194782
0_v10.wav,0,100.79644,42.249687,8.177445,-7.1698403,3.3660505,0.89371085,-2.205471,-1.1958889,-0.34189752,1.46472,-1.9902666,1.5920131,-0.44498762
0_v10.wav,0,88.99771,48.133034,7.2413363,-8.636856,3.8596542,2.5165596,1.0073946,-1.5642339,-2.8743372,1.6403801,-1.5137758,1.033504,-1.0504276
0_v10.wav,0,77.672295,51.29193,5.328797,-10.033625,4.8197336,3.695287,2.4849546,0.2867067,-2.269839,2.132794,-3.0685675,0.40926334,-2.4601169
0_v10.wav,0,67.075485,52.488075,4.227933,-9.237886,7.353713,4.72726,4.558507,2.6953068,-1.025156,2.2412186,-5.6403155,0.41249177,-3.3225367
0_v10.wav,0,55.984955,54.222374,2.9101064,-8.215672,9.806866,5.709554,6.0355396,4.840658,-1.4102237,1.7482501,-5.952151,0.802475,-3.7073326
0_v10.wav,0,42.25071,59.017235,-0.8744882,-8.861935,8.274179,5.6819453,6.401524,6.468147,-2.5109854,1.6643525,-4.976016,0.73648274,-4.0356703
0_v10.wav,0,30.56024,62.865314,-5.4822664,-12.646875,5.360331,4.5126605,5.7444625,6.4390326,-5.830395,1.208389,-3.1829212,-1.1751575,-3.362396
0_v10.wav,0,25.679049,63.05159,-9.008675,-17.956524,2.866478,2.8787718,5.7628746,4.429292,-7.8698106,0.90385944,-1.9817796,-4.252928,-1.6517487
