File Name,digit,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
0_v10.wav,0,435.8796,-20.6023,32.848293,23.732391,-16.034771,16.155777,-18.82617,3.360846,-4.404712,-1.7445164,1.129065,0.7108698,1.4117819
0_v10.wav,0,274.6763,0.29286566,26.590353,7.6497574,2.8298788,-8.556753,6.5363507,-4.0296154,8.843067,8.009409,-5.107211,-0.86742544,1.7229149
0_v10.wav,0,168.97745,23.717455,12.369537,-2.7784898,7.992434,-3.775714,18.35202,-3.7168255,4.4228477,3.5702312,-0.5250766,-3.5400581,-0.94555056
0_v10.wav,0,118.685646,39.851677,7.785928,-5.285478,8.867544,1.501826,20.314869,-2.8491216,2.9458616,-1.5224586,2.8336368,0.85400504,-0.94530404
0_v10.wav,0,91.85165,53.574062,8.366605,-4.42672,10.372481,5.026129,19.196335,-4.4604983,-2.2143748,-3.283586,2.8793747,3.0480514,-1.6612055
0_v10.wav,0,67.65035,54.685417,4.449132,-7.5195394,8.957885,7.282441,3.049138,1.056964,0.22023146,-7.046779,3.1467745,-0.97524965,-3.061917
0_v10.wav,0,41.496834,59.348263,-0.8286598,-8.84452,6.7458005,7.6353226,-6.255014,6.0186114,-1.3726311,-7.400658,1.6995947,-2.2553306,-4.2399116
0_v10.wav,0,24.42452,62.72823,-8.516411,-18.692396,1.6645508,4.3109927,-6.869248,4.3479347,-7.056624,-6.9906864,-2.5875535,-1.0638887,-1.8752668
0_v10.wav,0,29.431105,54.97397,-6.010584,-21.133509,5.0326104,-4.9752383,-10.433711,2.4079015,-3.5909748,-3.4230454,-1.1474981,2.1266701,-0.6565183
0_v10.wav,0,32.80389,45.159122,-4.2366004,-18.4307,7.375249,-12.750307,-11.324865,3.3698475,-1.8155495,1.256363,-1.4569572,-0.66604036,-1.3115617
0_v10.wav,0,29.125872,35.40445,-6.5167866,-18.038595,5.483279,-13.330594,-11.485744,-1.8459989,0.34581864,3.4583163,2.4948225,0.34729517,0.5909472
0_v10.wav,0,19.471458,33.663643,-2.6895957,-21.502085,2.3633268,-8.67378,-9.681656,-4.4917955,2.1348398,3.503216,3.439135,0.98388594,3.0673604
0_v10.wav,0,7.365111,26.490967,3.4988778,-23.40422,0.33333054,-4.8127193,-4.2788863,-1.3992136,-1.3181219,1.7187455,-0.063788325,1.0471936,5.0590625
0_v10.wav,0,-2.5849898,12.523881,-1.6402718,-15.005367,-4.392987,-4.172268,1.3595884,-0.60560584,-4.977254,4.1707144,-2.9234035,-2.3226426,3.078664
0_v10.wav,0,-3.9442208,1.6899079,-4.9783697,-7.126065,-2.8296022,-5.855808,0.07362197,-5.2017174,-9.006614,8.039775,0.28724462,-2.740956,1.5086062
0_v10.wav,0,1.0304947,-2.5271626,-6.2821374,-7.756614,-2.1350532,-9.218569,-2.5776892,-7.153233,-9.537829,5.643383,0.12979181,3.7660906,-2.583668
0_v10.wav,0,-2.346933,-9.208889,-7.2034655,-3.104908,-8.150561,-7.3984237,0.35784644,-5.6384225,-4.998131,3.470491,-1.4315485,-0.29269943,-3.4401627
0_v10.wav,0,-7.783051,-12.37372,-7.195806,3.636003,-7.193065,-4.115851,-1.567558,-3.9222481,-2.9831407,-0.74157274,3.3508792,0.61037964,-1.2171117
0_v10.wav,0,-8.3045435,-14.064386,-9.408619,4.1448336,-9.8198805,-2.9907718,1.2503705,-2.6152573,0.038602144,-0.6138433,1.2197149,-0.9884399,-1.6557152
0_v10.wav,0,-4.98659,-12.698527,-10.564998,-1.3399742,-10.490498,-3.3345542,3.1644456,-1.2026968,-0.10278114,-0.30987263,-1.3153167,-0.671501,-1.6706194
0_v10.wav,0,-7.983703,-15.399333,-8.6669235,4.1734633,-9.995015,1.4464756,2.006267,-2.0552034,-0.15485553,0.8466911,0.7479747,-1.3514808,-0.7643528
0_v10.wav,0,-8.876954,-18.311716,-10.443928,4.941399,-7.096644,1.9070444,1.9810349,-0.4124732,1.7143024,1.1488415,3.6051266,-1.3510643,-0.23011869
0_v10.wav,0,-9.253523,-17.381453,-13.767871,7.976004,-8.860115,4.4764104,1.4638392,-3.8307805,-0.80801404,5.23448,4.815951,-1.395678,0.7981532
0_v10.wav,0,-8.316566,-17.106142,-12.555583,9.160352,-9.1512375,9.472184,-0.043164622,0.05151538,-0.8365695,3.713281,6.0115113,0.563783,0.87844765
